"TIV of arms exports from UK, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,25,19,123,118,97,105,,2,,5,,43,100,43,,,,,,705
,South Yemen,,,,,,,,,,,,,,,,,,30,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43
,Spain,,,,,,,,,,5,,,,,,,,,,,,,,,,,110,,,,111,42,,,,34,20,42,24,,,2,1,,,,26,19,8,88,87,,,,40,40,,699
,Sri Lanka,0,,0,13,,10,2,1,25,11,4,,,,,,,,,,,13,,,,,,,,,,,,,,,3,1,0,,3,6,,,,,,,,,37,,,,,,,129
,Sudan,,,,,,,,2,1,,8,11,12,2,2,2,,,,10,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,58
,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3
,Sweden,221,263,263,306,374,495,542,181,181,106,69,15,19,24,51,196,169,14,0,,2,3,16,21,23,14,,,,,47,52,54,54,54,18,18,18,18,,,,20,,,,,,,,,,,,,,,3921
,Switzerland,96,93,235,134,132,130,212,211,220,278,179,,,,194,197,188,,9,3,,120,38,38,38,60,60,,,,,,22,151,173,173,93,,,10,150,40,10,10,10,,,,,,,,,,35,70,70,3882
,Syria,,0,,10,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,5
,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8,15,15,,,,,,,,,5,,,,,,,,,,,,,,10,,,,68
,Thailand,,1,1,1,,,,,,,,,,,,,,,,,,5,2,85,,7,1,,25,,,26,32,29,36,7,3,4,4,4,4,3,208,,,4,4,,,,4,7,,,6,5,12,530
,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,17
,Trinidad & Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9
,Tunisia,,,,,,,,,,,,,,,,19,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62
,Turkey,,,,,,,,,,310,,,,,,,,,,,,30,31,,,,,,,,,,,36,137,137,104,159,155,10,,,,,28,43,56,28,43,28,15,,7,11,14,14,14,1410
,UAE,,,,,,,,,,,,,,,,,,,2,4,68,20,2,2,,22,73,65,24,1,15,21,,77,90,89,24,2,10,19,17,18,18,216,53,38,29,57,71,11,,2,,,2,,,1162
,Uganda,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2
,Uruguay,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,2,,1,,,5,5,3,,,2,,,,,30
,USA,,,,,816,1250,1430,300,,,,,,,,,,,,,,305,404,344,275,83,193,,,,,69,,134,150,165,66,134,122,122,131,61,141,349,364,324,196,125,163,120,186,157,92,92,160,130,160,9313
,Venezuela,52,,,188,140,6,211,,89,,,,,29,,,23,23,,1,,,,,46,93,4,,,1,,,,,,,,,,11,41,41,,,,,,,,,,,,,,4,,1003
,Zambia,,,,,,,,,,,,,,,,,10,,,,,108,4,4,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,132
,Zimbabwe,,12,3,7,32,25,8,,58,,14,,15,14,,,,,,,,,,,,,,,,,,6,80,,8,,,6,,,,,50,,,,,,,,,,,,,,,338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,1644,2138,2069,2664,3125,4061,5247,4314,3225,2489,1815,1036,1145,723,973,1369,1452,2128,1476,1845,825,2083,2115,2447,2066,1924,1993,1978,1726,1277,1518,2261,2408,2366,2468,2061,1949,2225,1178,2111,1844,1449,1125,1447,1496,1405,1637,2394,1211,1128,1356,1117,742,682,1083,914,1064,
